selector,type,defined_in,uses,first_found_path
#D72638,id,unknown/multiple,0,
#E5E7EB,id,unknown/multiple,0,
#F8FAFC,id,unknown/multiple,0,
#FFFFFF,id,unknown/multiple,0,
#a62828,id,unknown/multiple,1,login.php
#bcd7f4,id,unknown/multiple,1,login.php
#c62828,id,unknown/multiple,0,
#c83c3c,id,unknown/multiple,0,
#cde3f8,id,unknown/multiple,1,login.php
#d1d5db,id,unknown/multiple,0,
#dc2626,id,unknown/multiple,0,
#dfe7f1,id,unknown/multiple,0,
#e2e8f0,id,unknown/multiple,0,
#e5e7eb,id,unknown/multiple,1,user\fart_soknavn.php
#f0f0f0,id,unknown/multiple,0,
#f1f5f9,id,unknown/multiple,0,
#f5f9fc,id,unknown/multiple,1,login.php
#f8fafc,id,unknown/multiple,0,
#f9f9f9,id,unknown/multiple,0,
#fbdada,id,unknown/multiple,1,login.php
#fef2f2,id,unknown/multiple,1,login.php
#fff,id,unknown/multiple,13,index.php
#links-table,id,unknown/multiple,2,admin\fart_edit.php
.actions,class,unknown/multiple,12,user\fart_detalj.php
.actions-compact,class,unknown/multiple,2,user\fart_sokspes.php
.admin-form,class,unknown/multiple,0,
.alert,class,unknown/multiple,10,login.php
.alert-error,class,unknown/multiple,3,admin\verft.php
.anchor,class,unknown/multiple,0,
.brand,class,unknown/multiple,11,admin\fart_edit.php
.btn,class,unknown/multiple,114,index.php
.btn--block,class,unknown/multiple,0,
.btn--danger,class,unknown/multiple,0,
.btn--icon,class,unknown/multiple,0,
.btn--lg,class,unknown/multiple,0,
.btn--quiet,class,unknown/multiple,0,
.btn--secondary,class,unknown/multiple,0,
.btn--sm,class,unknown/multiple,0,
.btn-block,class,unknown/multiple,0,
.btn-center,class,unknown/multiple,1,index.php
.btn-danger,class,unknown/multiple,1,admin\verft.php
.btn-group,class,unknown/multiple,1,admin\fart_nyfart.php
.btn-lg,class,unknown/multiple,0,
.btn-primary,class,unknown/multiple,5,admin\fart_edit.php
.btn-secondary,class,unknown/multiple,3,admin\verft.php
.btn-sm,class,unknown/multiple,0,
.btn-small,class,unknown/multiple,44,admin\fart_edit.php
.button,class,unknown/multiple,0,
.card,class,unknown/multiple,42,index.php
.card-content,class,unknown/multiple,3,user\fart_sokspes.php
.carded,class,unknown/multiple,0,
.center,class,unknown/multiple,56,index.php
.centered-card,class,unknown/multiple,17,admin\fart_edit.php
.changed,class,unknown/multiple,0,
.col,class,unknown/multiple,61,admin\fart_edit.php
.col--low,class,unknown/multiple,0,
.col--tight,class,unknown/multiple,0,
.col-span-2,class,unknown/multiple,0,
.compact,class,unknown/multiple,12,admin\fart_edit.php
.container,class,unknown/multiple,45,index.php
.css,class,unknown/multiple,12,index.php
.d-flex,class,unknown/multiple,8,admin\fart_edit.php
.danger-btn,class,unknown/multiple,0,
.dashboard,class,unknown/multiple,1,admin\users.php
.delete-btn,class,unknown/multiple,0,
.error,class,unknown/multiple,4,admin\verft.php
.fieldset,class,unknown/multiple,0,
.fieldset-title,class,unknown/multiple,0,
.filters-wrap,class,unknown/multiple,0,
.fit,class,unknown/multiple,14,admin\fart_edit.php
.flex,class,unknown/multiple,30,index.php
.form-card,class,unknown/multiple,0,
.form-control,class,unknown/multiple,104,admin\fart_edit.php
.form-field,class,unknown/multiple,3,user\fart_sokspes.php
.form-grid,class,unknown/multiple,2,admin\verft.php
.form-help,class,unknown/multiple,0,
.form-panel,class,unknown/multiple,0,
.form-row,class,unknown/multiple,0,
.form-select,class,unknown/multiple,46,admin\fart_edit.php
.full-btn,class,unknown/multiple,0,
.go-btn,class,unknown/multiple,0,
.grid,class,unknown/multiple,7,admin\verft.php
.grid-2,class,unknown/multiple,0,
.hero,class,unknown/multiple,34,index.php
.hero--small,class,unknown/multiple,2,user\rederi_sok.php
.hero-inner,class,unknown/multiple,6,index.php
.hero-overlay,class,unknown/multiple,9,index.php
.hero-rotator,class,unknown/multiple,8,index.php
.home,class,unknown/multiple,0,
.icon-btn,class,unknown/multiple,0,
.image-box,class,unknown/multiple,7,admin\fart_delete.php
.inline,class,unknown/multiple,11,admin\fart_edit.php
.input,class,unknown/multiple,19,login.php
.input-error,class,unknown/multiple,0,
.is-invalid,class,unknown/multiple,0,
.is-loading,class,unknown/multiple,0,
.knapp,class,unknown/multiple,0,
.large-btn,class,unknown/multiple,0,
.link,class,unknown/multiple,10,admin\fart_edit.php
.link-btn,class,unknown/multiple,0,
.logo,class,unknown/multiple,3,login.php
.mb-1,class,unknown/multiple,0,
.mb-2,class,unknown/multiple,3,admin\fart_edit.php
.mb-3,class,unknown/multiple,9,admin\fart_edit.php
.mt-1,class,unknown/multiple,2,admin\fart_nyfart.php
.mt-2,class,unknown/multiple,3,admin\fart_edit.php
.mt-3,class,unknown/multiple,15,index.php
.muted,class,unknown/multiple,20,index.php
.navbar,class,unknown/multiple,1,__gammelt\auth_loginOld.php
.outline-brand,class,unknown/multiple,10,admin\fart_edit.php
.panel,class,unknown/multiple,0,
.php,class,unknown/multiple,218,index.php
.primary-btn,class,unknown/multiple,0,
.prose,class,unknown/multiple,0,
.red-line,class,unknown/multiple,2,index.php
.results-card,class,unknown/multiple,0,
.row,class,unknown/multiple,25,admin\fart_edit.php
.row-center,class,unknown/multiple,0,
.search-btn,class,unknown/multiple,0,
.search-form,class,unknown/multiple,5,admin\sw_admin.php
.search-grid,class,unknown/multiple,1,user\fart_sokspes.php
.secondary-btn,class,unknown/multiple,0,
.selected,class,unknown/multiple,0,
.site-footer,class,unknown/multiple,1,includes\footer.php
.site-header,class,unknown/multiple,2,includes\header.php
.small-btn,class,unknown/multiple,0,
.soft-btn,class,unknown/multiple,0,
.stack,class,unknown/multiple,0,
.table,class,unknown/multiple,56,admin\fart_edit.php
.table--compact,class,unknown/multiple,5,user\rederi_sok.php
.table--zebra,class,unknown/multiple,5,user\rederi_sok.php
.table-container,class,unknown/multiple,2,admin\verftadmin.php
.table-wrap,class,unknown/multiple,18,admin\fart_edit.php
.table-wrap--scroll,class,unknown/multiple,5,user\rederi_sok.php
.text-center,class,unknown/multiple,5,admin\fart_edit.php
.text-link,class,unknown/multiple,0,
.tight,class,unknown/multiple,9,admin\fart_edit.php
.unit,class,unknown/multiple,0,
.view-btn,class,unknown/multiple,0,
.w-12ch,class,unknown/multiple,0,
.w-16ch,class,unknown/multiple,0,
.w-20ch,class,unknown/multiple,0,
.w-24ch,class,unknown/multiple,0,
.w-32ch,class,unknown/multiple,0,
.w-48ch,class,unknown/multiple,0,
.w-64ch,class,unknown/multiple,0,
.w-full,class,unknown/multiple,0,
.w-lg,class,unknown/multiple,0,
.w-md,class,unknown/multiple,0,
.w-prose,class,unknown/multiple,0,
.w-sm,class,unknown/multiple,0,
.w-xl,class,unknown/multiple,0,
.w-xs,class,unknown/multiple,0,
.woff2,class,unknown/multiple,0,
